time,stamp,left_encoder,right_encoder
1.5313917833009E+018,1.53139178332209E+018,1566,778
1.53139178336231E+018,1.53139178335709E+018,1566,778
1.53139178338122E+018,1.53139178340609E+018,1566,778
1.53139178343325E+018,1.53139178344109E+018,1566,778
1.53139178347525E+018,1.53139178350809E+018,1566,778
1.53139178354762E+018,1.53139178354309E+018,1566,777
1.53139178360614E+018,1.53139178357609E+018,1566,778
1.53139178363008E+018,1.53139178363509E+018,1566,777
1.53139178367867E+018,1.53139178366809E+018,1566,778
1.53139178369902E+018,1.53139178373509E+018,1566,778
1.53139178375064E+018,1.53139178376809E+018,1566,778
1.53139178380102E+018,1.53139178380309E+018,1566,778
1.53139178381612E+018,1.53139178384809E+018,1566,778
1.53139178387654E+018,1.53139178388109E+018,1566,778
1.5313917839205E+018,1.53139178391409E+018,1566,778
1.53139178394202E+018,1.53139178397509E+018,1566,778
1.53139178399416E+018,1.53139178400909E+018,1566,777
1.53139178407621E+018,1.53139178404409E+018,1566,778
1.53139178409578E+018,1.53139178410709E+018,1566,778
1.53139178415403E+018,1.53139178414109E+018,1566,778
1.5313917841964E+018,1.53139178422909E+018,1566,778
1.53139178424636E+018,1.53139178426309E+018,1566,778
1.53139178429802E+018,1.53139178429809E+018,1566,778
1.53139178431402E+018,1.53139178434809E+018,1566,778
1.53139178436773E+018,1.53139178438309E+018,1566,778
1.53139178440871E+018,1.53139178441609E+018,1566,778
1.53139178442925E+018,1.53139178445609E+018,1566,777
1.53139178448781E+018,1.53139178449009E+018,1566,778
1.53139178453983E+018,1.53139178456409E+018,1566,777
1.5313917846285E+018,1.53139178459809E+018,1566,778
1.53139178468334E+018,1.53139178468909E+018,1567,778
1.5313917847431E+018,1.53139178472409E+018,1566,778
1.53139178475997E+018,1.53139178479109E+018,1566,777
1.53139178481997E+018,1.53139178482609E+018,1566,778
1.53139178486744E+018,1.53139178489709E+018,1566,777
1.53139178493157E+018,1.53139178493209E+018,1566,777
1.53139178495931E+018,1.53139178499209E+018,1566,777
1.53139178501551E+018,1.53139178502709E+018,1566,777
1.5313917850888E+018,1.53139178506009E+018,1566,778
1.5313917851195E+018,1.53139178509709E+018,1566,778
1.53139178519126E+018,1.53139178513209E+018,1566,778
1.53139178520835E+018,1.53139178523509E+018,1566,778
1.53139178526801E+018,1.53139178527009E+018,1566,778
1.53139178531271E+018,1.53139178534409E+018,1566,778
1.5313917853727E+018,1.53139178537909E+018,1566,778
1.53139178543102E+018,1.53139178541209E+018,1566,777
1.53139178545662E+018,1.53139178545509E+018,1566,777
1.53139178550818E+018,1.53139178548909E+018,1566,778
1.53139178553264E+018,1.5313917855531E+018,1566,778
1.53139178562754E+018,1.5313917855881E+018,1566,778
1.53139178566531E+018,1.5313917856801E+018,1566,777
1.53139178572007E+018,1.5313917857131E+018,1566,778
1.53139178577083E+018,1.5313917857921E+018,1566,778
1.53139178582708E+018,1.5313917858271E+018,1566,778
1.5313917858963E+018,1.5313917859041E+018,1566,777
1.53139178595586E+018,1.5313917859381E+018,1566,778
1.53139178600886E+018,1.5313917860281E+018,1566,777
1.53139178609502E+018,1.5313917860611E+018,1566,778
1.53139178615528E+018,1.5313917861701E+018,1566,778
1.53139178621784E+018,1.5313917862041E+018,1566,778
1.53139178627046E+018,1.5313917862901E+018,1566,777
1.53139178632126E+018,1.5313917863241E+018,1566,777
1.5313917863804E+018,1.5313917864021E+018,1566,778
1.5313917864321E+018,1.5313917864361E+018,1566,778
1.53139178648263E+018,1.5313917865041E+018,1566,778
1.53139178656654E+018,1.5313917865391E+018,1566,778
1.53139178661846E+018,1.5313917865721E+018,1566,777
1.53139178663905E+018,1.5313917866411E+018,1566,778
1.53139178669199E+018,1.5313917866751E+018,1566,778
1.53139178671369E+018,1.5313917867341E+018,1566,777
1.5313917867702E+018,1.5313917867691E+018,1566,778
1.53139178679681E+018,1.5313917868271E+018,1566,778
1.53139178686297E+018,1.5313917868621E+018,1566,778
1.53139178690653E+018,1.5313917868951E+018,1566,778
1.53139178692735E+018,1.5313917869411E+018,1566,777
1.53139178699237E+018,1.5313917869761E+018,1566,778
1.53139178701221E+018,1.5313917870311E+018,1566,778
1.53139178707747E+018,1.5313917870661E+018,1565,778
1.53139178712186E+018,1.5313917871481E+018,1566,778
1.53139178717919E+018,1.5313917871831E+018,1566,778
1.53139178722262E+018,1.5313917872521E+018,1566,778
1.5313917872783E+018,1.5313917872871E+018,1566,778
1.53139178732848E+018,1.5313917873201E+018,1566,778
1.531391787349E+018,1.5313917873561E+018,1566,777
1.53139178739977E+018,1.5313917873891E+018,1566,778
1.53139178742148E+018,1.5313917874501E+018,1566,778
1.53139178749196E+018,1.5313917874851E+018,1566,778
1.53139178754209E+018,1.5313917875181E+018,1566,778
1.53139178756622E+018,1.5313917875721E+018,1566,778
1.53139178762248E+018,1.5313917876071E+018,1566,777
1.53139178764374E+018,1.5313917876701E+018,1566,778
1.53139178770096E+018,1.5313917877051E+018,1566,777
1.5313917877498E+018,1.5313917877381E+018,1566,778
1.53139178777066E+018,1.5313917877821E+018,1566,777
1.53139178783279E+018,1.5313917878161E+018,1566,777
1.5313917878654E+018,1.5313917878831E+018,1565,778
1.53139178792362E+018,1.5313917879181E+018,1566,778
1.53139178795631E+018,1.5313917879801E+018,1566,778
1.53139178804102E+018,1.53139178798332E+018,1566,778
1.53139178809014E+018,1.53139178801632E+018,1566,778
1.53139178811167E+018,1.53139178809432E+018,1566,778
1.53139178816384E+018,1.53139178812732E+018,1566,777
1.53139178821128E+018,1.53139178819732E+018,1566,778
1.53139178826679E+018,1.53139178823232E+018,1566,777
1.53139178830997E+018,1.53139178829532E+018,1566,778
1.53139178836118E+018,1.53139178833032E+018,1566,778
1.53139178841122E+018,1.53139178840732E+018,1566,778
1.53139178848524E+018,1.53139178844032E+018,1566,777
1.5313917885434E+018,1.53139178847532E+018,1566,778
1.53139178856019E+018,1.53139178855232E+018,1566,778
1.53139178861478E+018,1.53139178858732E+018,1565,778
1.53139178865116E+018,1.53139178864632E+018,1566,778
1.53139178870647E+018,1.53139178868132E+018,1566,778
1.53139178874844E+018,1.53139178874432E+018,1566,778
1.53139178881038E+018,1.53139178877932E+018,1566,778
1.53139178885492E+018,1.53139178884932E+018,1566,778
1.53139178891924E+018,1.53139178888432E+018,1566,778
1.53139178898487E+018,1.53139178895732E+018,1566,778
1.53139178904946E+018,1.53139178899232E+018,1566,777
1.53139178907709E+018,1.53139178907332E+018,1566,777
1.53139178913506E+018,1.53139178910832E+018,1566,778
1.53139178918401E+018,1.53139178914132E+018,1566,778
1.53139178920552E+018,1.53139178918532E+018,1566,778
1.53139178926491E+018,1.53139178921932E+018,1566,778
1.5313917893157E+018,1.53139178929732E+018,1566,778
1.53139178937616E+018,1.53139178933232E+018,1566,778
1.53139178941185E+018,1.53139178939432E+018,1566,778
1.5313917894759E+018,1.53139178942832E+018,1566,777
1.53139178953172E+018,1.53139178952332E+018,1566,777
1.5313917895865E+018,1.53139178955632E+018,1566,778
1.53139178963895E+018,1.53139178963132E+018,1566,777
1.53139178969621E+018,1.53139178966632E+018,1566,778
1.53139178974546E+018,1.53139178973432E+018,1566,778
1.53139178979768E+018,1.53139178976932E+018,1566,777
1.53139178984804E+018,1.53139178984332E+018,1566,778
1.53139178991685E+018,1.53139178987632E+018,1566,778
1.53139178997286E+018,1.53139178990932E+018,1566,778
1.53139178999775E+018,1.53139178998432E+018,1566,778
1.53139179004948E+018,1.53139179001932E+018,1566,778
1.53139179009835E+018,1.53139179005232E+018,1566,778
1.53139179011882E+018,1.53139179010632E+018,1566,778
1.53139179017141E+018,1.53139179014132E+018,1566,777
1.53139179023087E+018,1.53139179021332E+018,1566,778
1.53139179028561E+018,1.53139179024832E+018,1566,778
1.53139179033074E+018,1.53139179032432E+018,1566,778
1.53139179040883E+018,1.53139179035932E+018,1566,777
1.53139179046101E+018,1.53139179039232E+018,1566,778
1.53139179048801E+018,1.53139179046432E+018,1566,778
1.53139179053744E+018,1.53139179049932E+018,1566,778
1.53139179058287E+018,1.53139179059315E+018,1566,777
1.53139179063016E+018,1.53139179062715E+018,1566,778
1.53139179068378E+018,1.53139179066215E+018,1566,778
1.53139179070785E+018,1.53139179070215E+018,1566,778
1.53139179076205E+018,1.53139179073715E+018,1566,778
1.53139179081738E+018,1.53139179082115E+018,1566,778
1.53139179090231E+018,1.53139179085615E+018,1566,778
1.53139179095561E+018,1.53139179096215E+018,1566,778
1.53139179101721E+018,1.53139179099715E+018,1566,778
1.53139179106321E+018,1.53139179107515E+018,1566,778
1.53139179112164E+018,1.53139179111015E+018,1566,777
1.53139179117025E+018,1.53139179114315E+018,1566,777
1.53139179119728E+018,1.53139179119215E+018,1566,778
1.53139179125758E+018,1.53139179122615E+018,1566,778
1.53139179129116E+018,1.53139179130315E+018,1566,777
1.53139179134241E+018,1.53139179133715E+018,1566,778
1.53139179142399E+018,1.53139179136915E+018,1566,777
1.53139179144772E+018,1.53139179141815E+018,1566,778
1.53139179150624E+018,1.53139179145215E+018,1566,778
1.53139179156303E+018,1.53139179156515E+018,1566,778
1.53139179161512E+018,1.53139179159915E+018,1566,778
1.5313917916425E+018,1.53139179165815E+018,1566,778
1.53139179169554E+018,1.53139179169115E+018,1566,778
1.53139179176076E+018,1.53139179172615E+018,1566,778
1.53139179177718E+018,1.53139179178315E+018,1566,778
1.53139179183711E+018,1.53139179181815E+018,1566,778
1.53139179191028E+018,1.53139179188415E+018,1566,778
1.53139179196345E+018,1.53139179191715E+018,1566,778
1.53139179200886E+018,1.53139179202315E+018,1566,778
1.53139179205778E+018,1.53139179205715E+018,1566,778
1.53139179210512E+018,1.53139179208915E+018,1566,778
1.53139179212644E+018,1.53139179214115E+018,1566,778
1.53139179217582E+018,1.53139179217515E+018,1566,778
1.53139179222674E+018,1.53139179220715E+018,1566,778
1.5313917922572E+018,1.53139179225915E+018,1566,777
1.53139179230672E+018,1.53139179229315E+018,1566,778
1.53139179235654E+018,1.53139179236615E+018,1566,777
1.53139179243017E+018,1.53139179240015E+018,1566,777
1.53139179248891E+018,1.53139179249815E+018,1566,778
1.53139179254562E+018,1.53139179253315E+018,1566,778
1.53139179258751E+018,1.53139179256615E+018,1566,778
1.53139179260824E+018,1.53139179261315E+018,1566,778
1.53139179265588E+018,1.53139179264815E+018,1566,778
1.53139179270273E+018,1.53139179270615E+018,1566,778
1.53139179275632E+018,1.53139179274115E+018,1566,778
1.53139179277811E+018,1.53139179278415E+018,1566,778
1.531391792831E+018,1.53139179281915E+018,1566,778
1.53139179286192E+018,1.53139179287915E+018,1566,778
1.53139179293126E+018,1.53139179291415E+018,1566,778
1.53139179298567E+018,1.53139179294715E+018,1566,778
1.53139179301309E+018,1.53139179300515E+018,1566,777
1.53139179306622E+018,1.53139179304015E+018,1566,778
1.53139179308205E+018,1.53139179309936E+018,1566,777
1.53139179313617E+018,1.53139179313436E+018,1566,778
1.53139179317874E+018,1.53139179316736E+018,1566,778
1.53139179319959E+018,1.53139179320236E+018,1566,778
1.53139179325734E+018,1.53139179323536E+018,1566,778
1.53139179328021E+018,1.53139179328936E+018,1566,777
1.53139179333556E+018,1.53139179332436E+018,1566,778
1.53139179336174E+018,1.53139179337836E+018,1566,778
1.5313917934397E+018,1.53139179341336E+018,1566,777
1.53139179349132E+018,1.53139179344636E+018,1566,777
1.53139179351217E+018,1.53139179350936E+018,1566,778
1.53139179355972E+018,1.53139179354336E+018,1566,778
1.53139179358455E+018,1.53139179360336E+018,1566,777
1.5313917936329E+018,1.53139179363636E+018,1566,778
1.53139179367884E+018,1.53139179366836E+018,1566,778
1.53139179370006E+018,1.53139179371536E+018,1566,777
1.53139179375796E+018,1.53139179374836E+018,1566,778
1.53139179380655E+018,1.53139179378036E+018,1566,778
1.53139179382828E+018,1.53139179383236E+018,1566,778
1.53139179389402E+018,1.53139179386636E+018,1566,778
1.53139179392718E+018,1.53139179392336E+018,1566,777
1.53139179398273E+018,1.53139179395836E+018,1566,777
