%time,field.data
1538332928172236783,505
1538332928278189949,471
1538332928374809857,549
1538332928483473877,409
1538332928586338489,411
1538332928663865270,405
1538332928772086878,402
1538332928874424914,395
1538332928987334108,398
1538332929080150548,395
1538332929182463527,391
1538332929280249935,388
1538332929378370068,398
1538332929486411890,398
1538332929590483470,397
1538332929682835606,398
1538332929786495447,536
1538332929894411958,395
1538332929986512443,521
1538332930096428520,395
1538332930210486484,397
1538332930314474072,398
1538332930415250619,396
1538332930534502737,398
1538332930614293526,405
1538332930718568662,403
1538332930826565454,396
1538332930914882320,505
1538332931035028729,405
1538332931122587526,401
1538332931226562167,403
1538332931324563779,405
1538332931426562023,401
1538332931538624616,402
1538332931644169443,456
1538332931746579251,398
1538332931834962967,398
1538332931965347184,396
1538332932079968242,397
1538332932201530599,403
1538332932296646502,399
1538332932402502422,401
1538332932516548143,405
1538332932594526919,401
1538332932698656368,407
1538332932806997267,412
1538332932911610667,405
1538332933022482489,405
1538332933114567603,426
1538332933230388504,405
1538332933334655131,404
1538332933439565332,404
1538332933530805749,402
1538332933650522716,402
1538332933774635907,405
1538332933867305502,510
1538332933972473250,404
1538332934082741204,405
1538332934174628592,405
1538332934290781510,405
1538332934403002083,513
1538332934502995076,407
1538332934598565428,500
1538332934716312315,403
1538332934826781324,404
1538332934921284970,403
1538332935024234227,402
1538332935130802344,402
1538332935230606104,532
1538332935346693650,410
1538332935450621434,404
1538332935564643140,407
1538332935681216209,450
1538332935795749260,405
1538332935891208143,401
1538332935998582400,403
1538332936095079558,407
1538332936196328115,410
1538332936297774720,405
1538332936402855978,403
1538332936498677748,407
1538332936606756385,403
1538332936716631182,403
1538332936851277290,402
1538332936968728602,405
1538332937083166086,404
1538332937168567938,402
1538332937278052571,403
1538332937390636260,406
1538332937487770268,404
1538332937598868001,412
1538332937702858186,412
1538332937810728949,479
1538332937922604606,402
1538332938019324319,440
1538332938122779398,400
1538332938226660631,403
1538332938336431190,397
1538332938432942676,406
1538332938551328498,489
1538332938638901485,400
1538332938740226461,404
1538332938839320121,403
1538332938958384810,403
1538332939074910272,404
1538332939182923031,403
1538332939275612492,402
1538332939379743240,548
1538332939482939396,403
1538332939587758664,406
1538332939699030378,403
1538332939790763623,405
1538332939898992628,403
1538332940007066660,404
1538332940138926211,403
1538332940258115282,402
1538332940354984225,403
1538332940458986037,406
1538332940558880977,401
1538332940667252942,422
1538332940769605598,442
1538332940867435837,403
1538332940986846049,404
1538332941091356950,462
1538332941184294537,404
1538332941282908917,401
1538332941390991924,404
1538332941499250179,401
1538332941607060296,408
1538332941696601754,406
1538332941836078804,402
1538332941960783148,404
1538332942053567502,409
1538332942166948923,404
1538332942258943797,402
1538332942362137061,403
1538332942480272605,403
1538332942599024334,404
1538332942698882911,403
1538332942817649582,402
1538332942905730947,403
1538332943015618439,405
1538332943116576313,399
1538332943227159423,406
1538332943344673336,403
1538332943458792189,403
1538332943566540040,404
1538332943655595576,405
1538332943758959125,402
1538332943869724003,406
1538332943982936388,402
1538332944095219778,403
1538332944228341131,405
1538332944312201055,397
1538332944410988915,405
1538332944538071932,522
1538332944633688234,433
1538332944732620774,404
1538332944831570470,404
1538332944959355867,404
1538332945067095468,422
1538332945163639021,455
1538332945270783951,402
1538332945382882268,405
1538332945487231738,403
1538332945574237648,395
1538332945678561548,398
1538332945797033460,398
1538332945909581836,398
1538332946025974881,395
1538332946127527624,396
1538332946235922712,399
1538332946331463197,399
1538332946437122872,397
1538332946535831827,474
1538332946631061251,394
1538332946747399745,446
1538332946864581756,399
1538332946964972524,397
1538332947067941928,382
1538332947163999493,380
1538332947275275375,375
1538332947374984646,373
1538332947475055542,427
1538332947566364322,370
1538332947675873664,371
1538332947783577446,361
1538332947891873497,371
1538332947990963109,355
1538332948079487575,355
1538332948203284971,356
1538332948311143961,353
1538332948431307653,353
1538332948523351733,356
1538332948627252807,360
1538332948745389451,355
1538332948863292881,363
1538332948979157098,411
1538332949091144909,495
1538332949183023596,361
1538332949292894070,360
1538332949409015138,363
1538332949491081280,360
1538332949595268655,466
1538332949711874700,362
1538332949811623751,360
1538332949912717281,369
1538332950007036493,370
1538332950115174573,360
1538332950223317191,472
1538332950341974995,372
1538332950456114267,369
1538332950555360448,370
1538332950659184898,369
1538332950763546419,373
1538332950859338077,366
1538332950974202428,372
1538332951067937004,366
1538332951206068866,368
1538332951319687744,377
1538332951416972341,367
1538332951527323572,370
1538332951619942254,372
1538332951723489029,371
1538332951831164565,371
1538332951941213769,370
1538332952054082394,369
1538332952151599671,367
1538332952255424227,368
1538332952364055607,376
1538332952459390939,372
1538332952567521991,368
1538332952693142336,369
1538332952782995413,371
1538332952887412573,368
1538332952988895275,371
1538332953094741150,369
1538332953199387434,372
1538332953306927634,369
1538332953402653315,368
1538332953503578749,371
1538332953629843334,370
1538332953739195038,380
1538332953856099250,371
1538332953972949122,375
1538332954072859335,368
1538332954190127300,396
1538332954280582743,368
1538332954368207384,376
1538332954472120253,368
1538332954599421844,377
1538332954675047398,365
1538332954770859125,370
1538332954881684104,371
1538332954983820765,368
1538332955083788314,369
1538332955197799039,493
1538332955293167857,376
1538332955401841151,371
1538332955488998523,363
1538332955610619769,377
1538332955741276137,419
1538332955835428601,369
1538332955943536212,369
1538332956047271268,371
1538332956163517764,368
1538332956271623483,368
1538332956363599891,375
1538332956472942717,366
1538332956587488612,366
1538332956695540689,372
1538332956952725831,369
1538332957010410409,368
1538332957010444615,368
1538332957145970643,367
1538332957278534767,380
1538332957318901330,380
1538332957427569514,368
1538332957531475695,375
1538332957624858822,452
1538332957731473345,369
1538332957853122397,370
1538332957967287071,370
1538332958069009564,375
1538332958171688017,372
1538332958282164953,369
1538332958363550636,369
1538332958465185149,369
1538332958555972682,368
1538332958659333057,371
1538332958787265195,366
1538332958883447347,370
1538332959001126964,377
1538332959079864268,370
1538332959195124548,370
1538332959283807779,369
1538332959383862456,371
1538332959489239656,373
1538332959585177314,368
1538332959687568962,365
1538332959783499136,368
1538332959883471713,370
1538332959987385962,421
1538332960114943617,373
1538332960199735371,371
1538332960303885293,411
1538332960397090803,372
1538332960517921791,368
1538332960611394689,369
1538332960715398334,368
1538332960832208556,369
1538332960934110714,423
1538332961017470512,365
1538332961129358664,374
1538332961227442586,369
1538332961335694126,367
1538332961439629646,395
1538332961560122372,473
1538332961643635704,368
1538332961755840988,369
1538332961864762501,368
1538332961959444223,371
1538332962059812474,370
1538332962167756388,370
1538332962275990248,370
1538332962379723884,480
1538332962487488927,366
1538332962583803861,372
1538332962693347235,374
1538332962791717575,371
1538332962891762251,367
1538332963007424483,367
1538332963112057395,368
1538332963223678403,367
1538332963343934451,477
1538332963447801386,366
1538332963536325573,490
1538332963636408358,366
1538332963758986276,368
1538332963851637830,367
1538332963963816743,371
1538332964068043739,368
1538332964175838695,369
1538332964280455983,378
1538332964383931972,366
1538332964468222533,368
1538332964591755868,375
1538332964699912084,383
1538332964796300077,371
1538332964895809030,378
1538332965003695934,369
1538332965107818474,368
1538332965211634993,439
1538332965295488477,368
1538332965392840015,368
1538332965491561686,371
1538332965599663470,369
1538332965703218598,411
1538332965804825667,367
1538332965907843853,370
1538332966049328357,369
1538332966143848571,368
1538332966244314489,374
1538332966352092411,367
1538332966451696331,368
1538332966571820625,366
1538332966664152005,369
1538332966768788266,368
1538332966864488754,371
1538332966979639936,368
1538332967067883515,369
1538332967174754272,366
1538332967271940667,371
1538332967385161179,369
1538332967496801973,366
1538332967615888429,369
1538332967712540246,435
1538332967819865353,367
1538332967924840057,373
1538332968023679198,374
1538332968124177625,369
1538332968227900922,371
1538332968351924710,370
1538332968447796334,360
1538332968552050743,362
1538332968651806240,356
1538332968742617801,356
1538332968839771917,347
1538332968940048774,395
1538332969047706530,343
1538332969151879183,337
1538332969260131069,338
1538332969363983741,337
1538332969472037669,333
1538332969560039749,331
1538332969688037853,333
1538332969791972966,330
1538332969912041516,334
1538332970003587284,331
1538332970108613469,334
1538332970220067924,337
1538332970332605971,334
