time,stamp,magnetic_x,magnetic_y,magnetic_z,magnetic_field_variance_x,magnetic_field_variance_y,magnetic_field_variance_z
1.53139177333342E+018,1.53139177325795E+018,0.0000186,0.0001962,0.0003336,0.0048000002,0.0048000002,0.0048000002
1.53139177333865E+018,1.53139177326295E+018,0.0000186,0.0001962,0.0003336,0.0048000002,0.0048000002,0.0048000002
1.53139177334377E+018,1.53139177326895E+018,0.0000162,0.0001938,0.0003384,0.0048000002,0.0048000002,0.0048000002
1.53139177336524E+018,1.53139177332595E+018,0.0000162,0.0001938,0.0003384,0.0048000002,0.0048000002,0.0048000002
1.53139177338641E+018,1.53139177333195E+018,0.000018,0.0001938,0.0003372,0.0048000002,0.0048000002,0.0048000002
1.5313917733916E+018,1.53139177333495E+018,0.000018,0.0001938,0.0003438,0.0048000002,0.0048000002,0.0048000002
1.53139177339661E+018,1.53139177333995E+018,0.000018,0.0001938,0.0003438,0.0048000002,0.0048000002,0.0048000002
1.5313917734044E+018,1.53139177334495E+018,0.0000246,0.0001974,0.000342,0.0048000002,0.0048000002,0.0048000002
1.53139177341114E+018,1.53139177335095E+018,0.0000246,0.0001974,0.000342,0.0048000002,0.0048000002,0.0048000002
1.53139177341672E+018,1.53139177335595E+018,0.0000144,0.0001974,0.000342,0.0048000002,0.0048000002,0.0048000002
1.53139177343851E+018,1.53139177336495E+018,0.0000144,0.0001974,0.000342,0.0048000002,0.0048000002,0.0048000002
1.5313917734711E+018,1.53139177341695E+018,0.0000162,0.000204,0.0003438,0.0048000002,0.0048000002,0.0048000002
1.53139177347642E+018,1.53139177341895E+018,0.0000186,0.0001974,0.0003432,0.0048000002,0.0048000002,0.0048000002
1.5313917734818E+018,1.53139177342495E+018,0.000018,0.0001968,0.0003456,0.0048000002,0.0048000002,0.0048000002
1.53139177348714E+018,1.53139177342995E+018,0.000018,0.0001968,0.0003456,0.0048000002,0.0048000002,0.0048000002
1.53139177349246E+018,1.53139177343595E+018,0.000021,0.0001908,0.0003456,0.0048000002,0.0048000002,0.0048000002
1.53139177349796E+018,1.53139177344095E+018,0.000021,0.0001908,0.0003456,0.0048000002,0.0048000002,0.0048000002
1.53139177352365E+018,1.53139177344995E+018,0.000015,0.0001926,0.000348,0.0048000002,0.0048000002,0.0048000002
1.53139177352904E+018,1.53139177345195E+018,0.000015,0.0001926,0.000348,0.0048000002,0.0048000002,0.0048000002
1.53139177353516E+018,1.53139177345795E+018,0.0000168,0.0001992,0.000339,0.0048000002,0.0048000002,0.0048000002
1.53139177354096E+018,1.53139177346295E+018,0.0000168,0.0001992,0.000339,0.0048000002,0.0048000002,0.0048000002
1.53139177354694E+018,1.53139177350595E+018,0.000012,0.0001926,0.000351,0.0048000002,0.0048000002,0.0048000002
1.53139177357108E+018,1.53139177351195E+018,0.0000156,0.0001932,0.0003492,0.0048000002,0.0048000002,0.0048000002
1.53139177357693E+018,1.53139177351495E+018,0.0000144,0.0001932,0.000342,0.0048000002,0.0048000002,0.0048000002
1.53139177358804E+018,1.53139177351995E+018,0.0000144,0.0001932,0.000342,0.0048000002,0.0048000002,0.0048000002
1.53139177359563E+018,1.53139177352595E+018,0.0000132,0.0001956,0.0003456,0.0048000002,0.0048000002,0.0048000002
1.53139177360487E+018,1.53139177353095E+018,0.0000132,0.0001956,0.0003456,0.0048000002,0.0048000002,0.0048000002
1.53139177361267E+018,1.53139177353695E+018,0.0000198,0.0001944,0.0003408,0.0048000002,0.0048000002,0.0048000002
1.5313917736473E+018,1.53139177358595E+018,0.0000198,0.0001944,0.0003408,0.0048000002,0.0048000002,0.0048000002
1.53139177367608E+018,1.53139177359195E+018,0.000015,0.0002052,0.0003468,0.0048000002,0.0048000002,0.0048000002
1.53139177369151E+018,1.53139177359395E+018,0.000015,0.0002052,0.0003468,0.0048000002,0.0048000002,0.0048000002
1.5313917737E+018,1.53139177359995E+018,0.0000108,0.0001866,0.0003522,0.0048000002,0.0048000002,0.0048000002
1.53139177370701E+018,1.53139177360495E+018,0.0000132,0.0001836,0.000354,0.0048000002,0.0048000002,0.0048000002
1.53139177371488E+018,1.53139177361095E+018,0.0000132,0.0001836,0.000354,0.0048000002,0.0048000002,0.0048000002
1.5313917737225E+018,1.53139177361595E+018,0.0000096,0.000189,0.0003546,0.0048000002,0.0048000002,0.0048000002
1.53139177374781E+018,1.53139177362495E+018,0.0000096,0.000189,0.0003546,0.0048000002,0.0048000002,0.0048000002
1.5313917737719E+018,1.53139177372195E+018,0.0000144,0.0002016,0.0003504,0.0048000002,0.0048000002,0.0048000002
1.53139177378033E+018,1.53139177372395E+018,0.0000144,0.0002016,0.0003504,0.0048000002,0.0048000002,0.0048000002
1.53139177378663E+018,1.53139177372995E+018,0.0000168,0.0001932,0.0003546,0.0048000002,0.0048000002,0.0048000002
1.53139177379261E+018,1.53139177373495E+018,0.000009,0.0001968,0.0003456,0.0048000002,0.0048000002,0.0048000002
1.53139177379865E+018,1.53139177374095E+018,0.000009,0.0001968,0.0003456,0.0048000002,0.0048000002,0.0048000002
1.53139177380476E+018,1.53139177374595E+018,0.0000126,0.0001962,0.000345,0.0048000002,0.0048000002,0.0048000002
1.53139177383092E+018,1.53139177375495E+018,0.0000126,0.0001962,0.000345,0.0048000002,0.0048000002,0.0048000002
1.53139177383735E+018,1.53139177375695E+018,0.000018,0.0001908,0.000354,0.0048000002,0.0048000002,0.0048000002
1.53139177384395E+018,1.53139177376295E+018,0.000018,0.0001908,0.000354,0.0048000002,0.0048000002,0.0048000002
1.53139177385063E+018,1.53139177376795E+018,0.000012,0.0001938,0.0003456,0.0048000002,0.0048000002,0.0048000002
