%time,field.data
1538332604739249020,404
1538332604863703161,403
1538332604958301543,404
1538332605068225061,415
1538332605171515304,408
1538332605287555661,404
1538332605407554596,403
1538332605515717516,403
1538332605627561605,403
1538332605723655567,404
1538332605823820261,403
1538332605927879629,449
1538332606035357211,402
1538332606146886765,404
1538332606263917249,404
1538332606384361404,403
1538332606473637209,402
1538332606584045541,404
1538332606675231766,403
1538332606771368811,401
1538332606871410272,404
1538332606987836148,404
1538332607083920057,401
1538332607179470790,406
1538332607323802812,403
1538332607419666873,513
1538332607523633889,400
1538332607619851059,408
1538332607731955165,404
1538332607840385707,405
1538332607959682854,432
1538332608060543415,418
1538332608163676970,401
1538332608280211802,409
1538332608375482537,405
1538332608491510247,404
1538332608599442667,402
1538332608687343246,402
1538332608799620174,424
1538332608903759551,404
1538332609027858479,402
1538332609120294517,407
1538332609223652351,417
1538332609322032562,404
1538332609419767757,404
1538332609565496161,404
1538332609659511342,404
1538332609755759729,402
1538332609863824032,405
1538332609955833591,443
1538332610064037231,404
1538332610171822934,402
1538332610261931888,400
1538332610363786186,405
1538332610487817936,403
1538332610595490228,403
1538332610707561420,409
1538332610804020489,403
1538332610921803208,405
1538332611011482737,403
1538332611123905743,410
1538332611219854676,403
1538332611313234336,402
1538332611433500667,403
1538332611551870301,462
1538332611639129525,404
1538332611745545533,403
1538332611839324564,436
1538332611939571794,402
1538332612039714790,400
1538332612159751279,404
1538332612247492209,404
1538332612390843969,406
1538332612508392850,405
1538332612613314938,402
1538332612707644765,403
1538332612812186013,404
1538332612927911678,402
1538332613037697485,478
1538332613159962094,404
1538332613253270637,401
1538332613351942245,402
1538332613497376826,485
1538332613601507203,405
1538332613710733633,403
1538332613799864730,404
1538332613913969179,414
1538332613999789255,405
1538332614111789391,402
1538332614211636361,404
1538332614315714436,401
1538332614427905179,403
1538332614544474483,404
1538332614631709093,407
1538332614744089607,400
1538332614861676667,401
1538332614980168273,399
1538332615075733191,405
1538332615213407011,403
1538332615331975780,404
1538332615420455279,405
1538332615519763119,401
1538332615629664270,405
1538332615743241273,404
1538332615844891233,404
1538332615935777497,402
1538332616043768752,404
1538332616152007881,404
1538332616264099843,404
1538332616381746860,461
1538332616479944809,403
1538332616579948960,403
1538332616693222118,404
1538332616780749396,405
1538332616900056703,406
1538332616995809501,403
1538332617090572292,411
1538332617187733267,403
1538332617292695006,403
1538332617411738622,408
1538332617495765874,403
1538332617616131501,406
1538332617712093538,405
1538332617833918940,407
1538332617947727914,402
1538332618044041190,404
1538332618143814485,404
1538332618273762483,405
1538332618372039355,405
1538332618484106934,400
1538332618594566225,403
1538332618700107448,401
1538332618788078129,401
1538332618892045181,403
1538332619003745684,428
1538332619115975136,399
1538332619208128133,457
1538332619320043099,400
1538332619423368269,523
1538332619532187855,447
1538332619617315280,403
